OBJECTID,Juvenile_race_ethnicity,Juvenile_gender,status,status_reason,intake_date,CreationDate,Creator,EditDate,Editor
2001,Black,Female,Inactive-Unsuccessful,Unable to make Contact,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2002,Black,Female,Inactive-Unsuccessful,Unwilling To Participate,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2003,White,Male,Inactive-Unsuccessful,Unwilling To Participate,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2004,Black,Female,Rejected at Screening,Previous Charges,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2005,Black,Male,Rejected at Screening,Unwilling To Participate,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2006,Black,Male,Inactive-successful,,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2007,Black,Male,Inactive-successful,,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2008,Black,Female,Inactive-successful,,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2009,Black,Male,Inactive-successful,,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2010,Black,Male,Inactive-successful,NO FURTHER ACTION,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2011,Black,Male,Rejected at Screening,Inappropriate for Services,2013-10-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2012,Black,Male,Inactive-successful,,2013-10-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2013,Black,Female,Inactive-successful,,2013-10-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2014,White,Female,Rejected at screening,New Charge,2013-10-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2015,Black,Female,Rejected at screening,New Charge,2013-10-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2016,White,Male,Inactive-Unsuccessful,Previous Charges,2013-10-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2017,Black,Female,Inactive-successful,,2013-10-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2018,Black,Male,Inactive-successful,,2013-10-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2019,Black,Female,Rejected at screening,Never Showed for Intake,2013-10-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2020,Black,Female,Inactive-successful,,2013-10-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2021,Black,Male,Inactive-successful,,2013-10-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2022,White,Male,Inactive-successful,,2013-10-28T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2023,White,Male,Inactive-successful,,2013-10-28T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2024,Black,Male,Rejected at Screening,REROUTED PER SOURCE,2013-10-28T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2025,Black,Male,Inactive-successful,,2013-10-28T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2026,Black,Female,Rejected at Screening,move no longer in cms,2013-10-28T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2027,Black,Female,Inactive-successful,,2013-10-28T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2028,Black,Male,Inactive-successful,,2013-10-28T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2029,Black,Female,Inactive-successful,,2013-10-28T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2030,Black,Male,Inactive-successful,,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2031,White,Female,Rejected at Screening,New Charge,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2032,Other,Male,Inactive-Unsuccessful,Moved Out of Town,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2033,Black,Female,Rejected at Screening,Previous Charges,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2034,White,Male,Inactive-successful,,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2035,Black,Male,Rejected at Screening,Unwilling To Participate,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2036,Black,Male,Inactive-successful,,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2037,Black,Male,Inactive-successful,,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2038,Black,Male,Inactive-successful,,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2039,Black,Male,Inactive-successful,,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2040,Black,Male,Rejected at Screening,Unwilling to Participate,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2041,Black,Male,Rejected at Screening,Unwilling To Participate,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2042,Black,Female,Rejected at screening,PREVIOUS ARREST,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2043,Asian,Female,Inactive-successful,,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2044,White,Female,Inactive-successful,,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2045,White,Male,Rejected at screening,Previous Charges,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2046,White,Female,Rejected at Screening,Arrested,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2047,Black,Male,Rejected at Screening,Unwilling To Participate,2013-10-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2048,Black,Male,Inactive-successful,,2013-10-25T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2049,Black,Male,Inactive-successful,,2013-10-25T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2050,Black,Male,Inactive-successful,,2013-10-25T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2051,Black,Male,Inactive-successful,NO FURTHER ACTION,2013-10-25T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2052,Black,Female,Inactive-successful,,2013-10-25T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2053,Hispanic,Male,Inactive-successful,,2013-10-24T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2054,Hispanic,Male,Inactive-successful,,2013-10-24T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2055,Black,Male,Rejected at screening,Unwilling To Participate,2013-10-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2056,Black,Male,Inactive-successful,,2013-10-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2057,White,Male,Inactive-successful,NO FURTHER ACTION,2013-10-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2058,Black,Male,Inactive-successful,NO FURTHER ACTION,2013-10-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2059,Black,Male,Inactive-successful,NO FURTHER ACTION,2013-10-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2060,Black,Male,Rejected at screening,Unwilling To Participate,2013-10-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2061,Black,Male,Rejected at Screening,Unwilling To Participate,2013-10-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2062,White,Male,Inactive-successful,,2013-10-11T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2063,Black,Male,Inactive-successful,,2013-10-10T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2064,Black,Female,Inactive-successful,,2013-10-08T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2065,Black,Male,Inactive-successful,,2013-10-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2066,Black,Female,Rejected at Screening,REROUTED PER SGT. RATLIFF,2013-10-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2067,Black,Female,Rejected at Screening,New Charge,2013-10-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2068,Hispanic,Male,Inactive-successful,NO FURTHER ACTION,2013-10-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2069,Black,Male,Inactive-successful,NO FURTHER ACTION,2013-10-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2070,Black,Female,Inactive-Unsuccessful,restitution,2013-10-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2071,Black,Female,Inactive-successful,,2013-10-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2072,Black,Male,Inactive-successful,,2013-10-03T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2073,Black,Male,Inactive-successful,,2013-10-03T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2074,White,Female,Inactive-successful,,2013-10-03T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2075,Black,Male,Inactive-successful,,2013-10-03T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2076,White,Male,Inactive-successful,,2013-10-03T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2077,Black,Male,Rejected at screening,Inappropriate for services,2013-10-01T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2078,Black,Male,Inactive-successful,,2013-09-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2079,Black,Female,Rejected at Screening,Previous Charges,2013-09-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2080,Black,Male,Rejected at screening,Previous Charges,2013-09-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2081,Black,Female,Rejected at screening,Previous Charges,2013-09-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2082,Black,Male,Rejected at Screening,,2013-09-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2083,Black,Male,Rejected at Screening,Moved Out of Town,2013-09-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2084,Black,Male,Inactive-Unsuccessful,Unwilling To Participate,2013-09-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2085,Black,Male,Inactive-successful,,2013-09-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2086,Black,Male,Rejected at screening,Unable to Contact,2013-09-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2087,White,Female,Inactive-successful,,2013-09-24T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2088,Black,Male,Inactive-Unsuccessful,New Charge,2013-09-24T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2089,Black,Male,Inactive-successful,,2013-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2090,Black,Female,Inactive-successful,,2013-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2091,Black,Female,Inactive-Unsuccessful,New Charge,2013-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2092,White,Male,Inactive-successful,NO FURTHER ACTION,2013-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2093,Black,Male,Inactive-successful,,2013-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2094,Black,Male,Inactive-successful,,2013-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2095,Black,Female,Inactive-successful,,2013-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2096,Black,Female,Inactive-successful,,2013-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2097,Black,Female,Inactive-successful,,2013-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2098,Other,Male,Inactive-successful,,2013-09-18T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2099,Asian,Male,Inactive-successful,,2013-09-18T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2100,Hispanic,Male,Inactive-Unsuccessful,Unwilling To Participate,2013-09-18T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2101,Black,Male,Inactive-Unsuccessful,Decline by Teen Court,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2102,White,Male,Inactive-successful,,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2103,Black,Female,Rejected at Screening,Unwilling To Participate,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2104,Black,Female,Rejected at Screening,Inappropriate for services,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2105,Black,Male,Rejected at Screening,Unwilling To Participate,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2106,Black,Female,Inactive-successful,,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2107,Black,Female,Inactive-successful,,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2108,Black,Female,Inactive-successful,,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2109,Black,Female,Inactive-successful,,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2110,White,Male,Inactive-Unsuccessful,No Show,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2111,Black,Female,Rejected at screening,New Charge,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2112,Hispanic,Female,Inactive-Unsuccessful,Moved Out of Town,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2113,Black,Male,inactive-unsuccessful,New Charge,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2114,Black,Male,Inactive-Unsuccessful,Unwilling To Participate,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2115,Black,Male,Inactive-successful,,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2116,Black,Female,Inactive-successful,,2013-09-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2117,Black,Male,Inactive-successful,,2013-09-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2118,Black,Female,Inactive-successful,,2013-09-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2119,Black,Female,Inactive-successful,,2013-09-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2120,Black,Female,Inactive-successful,,2013-09-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2121,Black,Female,Inactive-successful,,2013-09-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2122,Black,Male,Inactive-successful,,2013-09-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2123,Hispanic,Male,Inactive-successful,,2013-09-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2124,Black,Male,Inactive-successful,,2013-09-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2125,Black,Female,Inactive-successful,,2013-09-09T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2126,Black,Female,Inactive-successful,,2013-09-09T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2127,Black,Female,Inactive-successful,,2013-09-09T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2128,White,Female,Inactive-successful,,2013-09-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2129,Black,Male,Rejected at Screening,Unwilling To Participate,2013-09-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2130,Black,Female,Inactive-successful,,2013-09-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2131,Black,Female,Rejected at Screening,Unwilling To Participate,2013-09-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2132,Black,Male,Rejected at Screening,Unwilling To Participate,2013-09-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2133,Black,Male,Rejected at Screening,Unwilling To Participate,2013-09-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2134,Black,Female,Rejected at Screening,New Charge,2013-09-04T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2135,Black,Female,Inactive-successful,,2013-09-04T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2136,Black,Female,Inactive-successful,,2013-09-04T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2137,Black,Male,Rejected at Screening,New Charge,2013-09-04T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2138,Black,Male,Inactive-Unsuccessful,New Charge,2013-09-04T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2139,Black,Female,Inactive-Unsuccessful,Unwilling To Participate,2013-08-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2140,Black,Female,Rejected at Screening,Unwilling To Participate,2013-08-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2141,Black,Male,Inactive-successful,,2013-08-22T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2142,Black,Male,Rejected at Screening,Previous Charges,2013-08-15T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2143,White,Male,Inactive-successful,,2013-08-14T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2144,Black,Male,Inactive-successful,,2013-08-08T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2145,Black,Female,Inactive-successful,,2013-08-08T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2146,Black,Female,Inactive-successful,,2013-08-08T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2147,Black,Male,Inactive-successful,,2013-08-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2148,White,Female,Inactive-successful,,2013-08-02T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2149,White,Male,Inactive-successful,,2013-07-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2150,White,Male,Inactive-successful,,2013-07-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2151,White,Female,Rejected at Screening,Moved Out of Town,2013-07-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2152,White,Female,Rejected at Screening,Moved Out of Town,2013-07-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2153,Black,Male,Inactive-successful,,2013-07-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2154,Black,Male,Rejected at Screening,Unwilling To Participate,2013-07-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2155,Black,Female,Inactive-successful,,2013-07-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2156,Black,Male,Inactive-successful,,2013-07-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2157,Black,Male,Inactive-successful,,2013-07-25T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2158,Black,Male,Inactive-successful,,2013-07-25T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2159,White,Male,Inactive-successful,,2013-07-25T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2160,Black,Male,Inactive-Unsuccessful,Unwilling To Participate,2013-07-19T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2161,Black,Male,Inactive-Unsuccessful,Unwilling to Participate,2013-07-19T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2162,Black,Female,Inactive-successful,,2013-07-19T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2163,Black,Female,Inactive-Unsuccessful,Unwilling To Participate,2013-07-16T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
